XLitho	YLitho	wavelength
1e-06	1.9e-05	557
9.42387e-06	1.897418e-05	
		
9.437501e-06	9.525278e-06	
1e-06	9.551094e-06	
		
1e-06	9.551094e-06	
1e-06	1.897418e-05	
		
4.762117e-06	1.9e-05	
4.775747e-06	1.391411e-05	
		
4.775747e-06	1.391411e-05	
1.027262e-06	1.38883e-05	
		
4.775747e-06	1.82255e-05	
9.410235e-06	1.825131e-05	
		
9.42387e-06	1.755426e-05	
4.803009e-06	1.750263e-05	
		
4.803009e-06	1.677976e-05	
9.410235e-06	1.677976e-05	
		
9.396606e-06	1.600526e-05	
4.803009e-06	1.603108e-05	
		
4.789378e-06	1.530821e-05	
9.396606e-06	1.533403e-05	
		
9.396606e-06	1.461116e-05	
4.803009e-06	1.458535e-05	
		
4.803009e-06	1.38883e-05	
9.410235e-06	1.391411e-05	
		
9.42387e-06	1.313961e-05	
1.013631e-06	1.316543e-05	
		
1.027262e-06	1.239093e-05	
9.396606e-06	1.241675e-05	
		
9.396606e-06	1.164225e-05	
1.027262e-06	1.166806e-05	
		
1.027262e-06	1.097101e-05	
9.396606e-06	1.094519e-05	
		
9.410235e-06	1.022233e-05	
1.013631e-06	1.022233e-05	
		
1.286248e-06	1.82255e-05	
1.368033e-06	1.858693e-05	
		
1.368033e-06	1.858693e-05	
1.436187e-06	1.82255e-05	
		
1.436187e-06	1.82255e-05	
1.31351e-06	1.82255e-05	
		
1.858744e-06	1.843203e-05	
2.063207e-06	1.845784e-05	
		
2.063207e-06	1.845784e-05	
1.967791e-06	1.817386e-05	
		
1.967791e-06	1.817386e-05	
1.872375e-06	1.845784e-05	
		
2.485763e-06	1.830295e-05	
2.581179e-06	1.858693e-05	
		
2.581179e-06	1.858693e-05	
2.649334e-06	1.830295e-05	
		
2.649334e-06	1.830295e-05	
2.526656e-06	1.827713e-05	
		
3.07189e-06	1.848366e-05	
3.303615e-06	1.850948e-05	
		
3.303615e-06	1.850948e-05	
3.208199e-06	1.819968e-05	
		
3.208199e-06	1.819968e-05	
3.112783e-06	1.840621e-05	
		
3.698909e-06	1.827713e-05	
3.807956e-06	1.861275e-05	
		
3.807956e-06	1.861275e-05	
3.917004e-06	1.830295e-05	
		
3.917004e-06	1.830295e-05	
3.753433e-06	1.825131e-05	
		
4.298667e-06	1.843203e-05	
4.51676e-06	1.850948e-05	
		
4.51676e-06	1.850948e-05	
4.434976e-06	1.817386e-05	
		
4.434976e-06	1.817386e-05	
4.325929e-06	1.840621e-05	
		
1.545234e-06	1.773498e-05	
1.749697e-06	1.773498e-05	
		
1.749697e-06	1.773498e-05	
1.681543e-06	1.799315e-05	
		
2.158623e-06	1.79157e-05	
2.390348e-06	1.794151e-05	
		
2.390348e-06	1.794151e-05	
2.281301e-06	1.765753e-05	
		
2.281301e-06	1.765753e-05	
2.199516e-06	1.788988e-05	
		
2.812904e-06	1.770916e-05	
2.90832e-06	1.809642e-05	
		
2.90832e-06	1.809642e-05	
2.990105e-06	1.773498e-05	
		
2.990105e-06	1.773498e-05	
2.826535e-06	1.770916e-05	
		
3.371769e-06	1.794151e-05	
3.630755e-06	1.794151e-05	
		
3.630755e-06	1.794151e-05	
3.521708e-06	1.768334e-05	
		
3.521708e-06	1.768334e-05	
3.426293e-06	1.788988e-05	
		
4.039681e-06	1.770916e-05	
4.135097e-06	1.804478e-05	
		
4.135097e-06	1.804478e-05	
4.230513e-06	1.770916e-05	
		
4.230513e-06	1.770916e-05	
4.094205e-06	1.770916e-05	
		
1.204463e-06	1.747681e-05	
1.47708e-06	1.747681e-05	
		
1.47708e-06	1.747681e-05	
1.368033e-06	1.71412e-05	
		
1.368033e-06	1.71412e-05	
1.258986e-06	1.742518e-05	
		
1.872375e-06	1.727028e-05	
1.967791e-06	1.755426e-05	
		
1.967791e-06	1.755426e-05	
2.049576e-06	1.727028e-05	
		
2.049576e-06	1.727028e-05	
1.913267e-06	1.721865e-05	
		
2.458502e-06	1.7451e-05	
2.703857e-06	1.747681e-05	
		
2.703857e-06	1.747681e-05	
2.608441e-06	1.719283e-05	
		
2.608441e-06	1.719283e-05	
2.485763e-06	1.742518e-05	
		
3.112783e-06	1.724446e-05	
3.194568e-06	1.755426e-05	
		
3.194568e-06	1.755426e-05	
3.262722e-06	1.724446e-05	
		
3.262722e-06	1.724446e-05	
3.153675e-06	1.724446e-05	
		
3.671648e-06	1.747681e-05	
3.903373e-06	1.750263e-05	
		
3.903373e-06	1.750263e-05	
3.821588e-06	1.716701e-05	
		
3.821588e-06	1.716701e-05	
3.698909e-06	1.742518e-05	
		
4.298667e-06	1.724446e-05	
4.394084e-06	1.76059e-05	
		
4.394084e-06	1.76059e-05	
4.489499e-06	1.724446e-05	
		
4.489499e-06	1.724446e-05	
4.339559e-06	1.721865e-05	
		
1.558865e-06	1.696048e-05	
1.776959e-06	1.693466e-05	
		
1.776959e-06	1.693466e-05	
