XLitho	YLitho	wavelength
4.085758e-06	1.165517e-06	309
4.458172e-06	7.041371e-06	
		
4.209896e-06	9.689659e-06	
4.003e-06	9.896559e-06	
		
4.003e-06	9.896559e-06	
4.04438e-06	1.229655e-05	
		
4.04438e-06	1.229655e-05	
4.334034e-06	1.246206e-05	
		
4.334034e-06	1.246206e-05	
4.334034e-06	1.337241e-05	
		
4.334034e-06	1.337241e-05	
4.954724e-06	1.461379e-05	
		
4.954724e-06	1.461379e-05	
5.078862e-06	1.568966e-05	
		
5.078862e-06	1.568966e-05	
5.575414e-06	1.672414e-05	
		
5.575414e-06	1.672414e-05	
5.82369e-06	1.817242e-05	
		
5.82369e-06	1.817242e-05	
5.906448e-06	1.9e-05	
		
5.906448e-06	1.9e-05	
5.989208e-06	1.800689e-05	
		
5.989208e-06	1.800689e-05	
6.113346e-06	1.705517e-05	
		
6.113346e-06	1.705517e-05	
6.609898e-06	1.585516e-05	
		
6.609898e-06	1.585516e-05	
6.692656e-06	1.469655e-05	
		
6.692656e-06	1.469655e-05	
6.775414e-06	1.432414e-05	
		
6.775414e-06	1.432414e-05	
7.437484e-06	1.308276e-05	
		
7.437484e-06	1.308276e-05	
7.354726e-06	1.266896e-05	
		
7.354726e-06	1.266896e-05	
7.561622e-06	1.250345e-05	
		
7.561622e-06	1.250345e-05	
7.68576e-06	9.937931e-06	
		
7.68576e-06	9.937931e-06	
7.396104e-06	9.482759e-06	
		
7.396104e-06	9.482759e-06	
7.561622e-06	5.055175e-06	
		
7.561622e-06	5.055175e-06	
7.975415e-06	4.931038e-06	
		
7.975415e-06	4.931038e-06	
8.099552e-06	5.59311e-06	
		
8.099552e-06	5.59311e-06	
8.22369e-06	5.055175e-06	
		
8.22369e-06	5.055175e-06	
8.678864e-06	5.096547e-06	
		
8.678864e-06	5.096547e-06	
8.761622e-06	5.303447e-06	
		
8.761622e-06	5.303447e-06	
8.885761e-06	5.551719e-06	
		
8.885761e-06	5.551719e-06	
8.803002e-06	5.758618e-06	
		
8.803002e-06	5.758618e-06	
8.885761e-06	6.131027e-06	
		
8.885761e-06	6.131027e-06	
9.092656e-06	5.841383e-06	
		
9.092656e-06	5.841383e-06	
9.051278e-06	5.510347e-06	
		
9.051278e-06	5.510347e-06	
9.175415e-06	5.262075e-06	
		
9.175415e-06	5.262075e-06	
9.961623e-06	5.17931e-06	
		
9.961623e-06	5.17931e-06	
9.961623e-06	5.38621e-06	
		
9.961623e-06	5.38621e-06	
1.004438e-05	5.634483e-06	
		
1.004438e-05	5.634483e-06	
1.02099e-05	5.344819e-06	
		
1.02099e-05	5.344819e-06	
1.016852e-05	5.220684e-06	
		
1.016852e-05	5.220684e-06	
1.153404e-05	5.38621e-06	
		
1.153404e-05	5.38621e-06	
1.169955e-05	5.675856e-06	
		
1.169955e-05	5.675856e-06	
1.186507e-05	6.131027e-06	
		
1.186507e-05	6.131027e-06	
1.252714e-05	8.448279e-06	
		
1.252714e-05	8.448279e-06	
1.2403e-05	8.903451e-06	
		
1.2403e-05	8.903451e-06	
1.277542e-05	8.944823e-06	
		
1.277542e-05	8.944823e-06	
1.269266e-05	8.613788e-06	
		
1.269266e-05	8.613788e-06	
1.310645e-05	6.999999e-06	
		
5.120242e-06	1.560689e-05	
6.113346e-06	1.589656e-05	
		
6.113346e-06	1.589656e-05	
6.651276e-06	1.552413e-05	
		
4.996104e-06	1.465518e-05	
6.030586e-06	1.486208e-05	
		
6.030586e-06	1.486208e-05	
6.651276e-06	1.453104e-05	
		
4.416794e-06	1.337241e-05	
6.113346e-06	1.382758e-05	
		
6.113346e-06	1.382758e-05	
7.396104e-06	1.304139e-05	
		
4.375414e-06	1.258622e-05	
6.113346e-06	1.287586e-05	
		
