XLitho	YLitho	wavelength
1.122792e-05	1.062282e-06	306
5.684661e-06	9.999993e-07	
		
5.373243e-06	1.158823e-05	
4.003e-06	1.221109e-05	
		
4.003e-06	1.221109e-05	
4.252135e-06	1.252249e-05	
		
4.252135e-06	1.252249e-05	
4.68812e-06	1.270935e-05	
		
4.68812e-06	1.270935e-05	
5.435526e-06	1.246022e-05	
		
5.435526e-06	1.246022e-05	
5.435526e-06	1.650865e-05	
		
5.435526e-06	1.650865e-05	
5.622378e-06	1.650865e-05	
		
5.622378e-06	1.650865e-05	
5.622378e-06	1.875087e-05	
		
5.622378e-06	1.875087e-05	
5.80923e-06	1.9e-05	
		
5.80923e-06	1.9e-05	
5.996081e-06	1.638409e-05	
		
5.996081e-06	1.638409e-05	
6.743487e-06	1.569896e-05	
		
6.743487e-06	1.569896e-05	
7.241756e-06	1.52007e-05	
		
7.241756e-06	1.52007e-05	
7.80231e-06	1.451557e-05	
		
7.80231e-06	1.451557e-05	
8.238297e-06	1.420417e-05	
		
8.238297e-06	1.420417e-05	
8.612e-06	1.432874e-05	
		
8.612e-06	1.432874e-05	
9.172554e-06	1.432874e-05	
		
9.172554e-06	1.432874e-05	
9.60854e-06	1.414188e-05	
		
9.60854e-06	1.414188e-05	
9.546255e-06	1.383045e-05	
		
9.546255e-06	1.383045e-05	
9.110269e-06	1.370588e-05	
		
9.110269e-06	1.370588e-05	
9.110269e-06	1.345675e-05	
		
9.110269e-06	1.326991e-05	
9.546255e-06	1.233565e-05	
		
9.546255e-06	1.233565e-05	
9.919958e-06	1.165053e-05	
		
9.919958e-06	1.165053e-05	
1.023138e-05	1.102768e-05	
		
1.023138e-05	1.102768e-05	
1.041823e-05	1.034257e-05	
		
1.041823e-05	1.034257e-05	
1.072965e-05	9.719721e-06	
		
1.072965e-05	9.719721e-06	
1.085422e-05	9.532881e-06	
		
1.085422e-05	9.532881e-06	
1.097878e-05	9.034596e-06	
		
1.097878e-05	9.034596e-06	
1.12902e-05	8.038066e-06	
		
1.12902e-05	8.038066e-06	
1.135248e-05	7.35294e-06	
		
1.135248e-05	7.35294e-06	
1.153934e-05	6.418682e-06	
		
1.153934e-05	6.418682e-06	
1.160162e-05	5.359859e-06	
		
1.160162e-05	5.359859e-06	
1.160162e-05	4.363329e-06	
		
1.160162e-05	4.363329e-06	
1.160162e-05	3.304505e-06	
		
1.160162e-05	3.304505e-06	
1.141477e-05	2.058822e-06	
		
1.141477e-05	2.058822e-06	
1.122792e-05	1.249134e-06	
		
5.622378e-06	1.619725e-05	
6.058364e-06	1.526299e-05	
		
6.058364e-06	1.526299e-05	
6.245215e-06	1.464014e-05	
		
6.245215e-06	1.464014e-05	
6.556636e-06	1.370588e-05	
		
6.556636e-06	1.370588e-05	
6.681202e-06	1.289619e-05	
		
6.681202e-06	1.289619e-05	
6.80577e-06	1.221109e-05	
		
6.80577e-06	1.221109e-05	
6.868053e-06	1.14014e-05	
		
6.868053e-06	1.14014e-05	
6.930338e-06	1.065398e-05	
		
6.930338e-06	1.065398e-05	
6.992621e-06	9.782015e-06	
		
6.992621e-06	9.782015e-06	
7.054904e-06	8.474057e-06	
		
7.054904e-06	8.474057e-06	
7.054904e-06	7.664366e-06	
		
7.054904e-06	7.664366e-06	
7.179473e-06	6.730108e-06	
		
7.179473e-06	6.730108e-06	
7.179473e-06	5.795852e-06	
		
7.179473e-06	5.795852e-06	
7.179473e-06	4.550168e-06	
		
7.179473e-06	4.550168e-06	
7.179473e-06	3.179939e-06	
		
7.179473e-06	3.179939e-06	
7.179473e-06	1.99654e-06	
		
7.179473e-06	1.99654e-06	
7.241756e-06	1.311418e-06	
		
5.622378e-06	1.246022e-05	
6.49435e-06	1.351904e-05	
		
6.49435e-06	1.351904e-05	
6.930338e-06	1.401731e-05	
		
6.930338e-06	1.401731e-05	
8.051445e-06	1.383045e-05	
		
5.80923e-06	8.660898e-06	
6.992621e-06	9.719721e-06	
		
5.684661e-06	4.612462e-06	
7.179473e-06	5.359859e-06	
		
6.49435e-06	1.451557e-05	
6.369784e-06	1.538756e-05	
		
6.369784e-06	1.538756e-05	
7.241756e-06	1.476471e-05	
		
7.241756e-06	1.476471e-05	
7.740027e-06	1.395501e-05	
		
7.117188e-06	1.383045e-05	
7.241756e-06	1.283392e-05	
		
7.241756e-06	1.283392e-05	
