XLitho	YLitho	wavelength
8.901487e-06	4.226773e-06	213
8.318334e-06	4.149023e-06	
		
7.229781e-06	3.838007e-06	
6.49112e-06	3.526991e-06	
		
6.49112e-06	3.526991e-06	
5.907967e-06	2.710581e-06	
		
5.907967e-06	2.710581e-06	
5.558076e-06	1.97192e-06	
		
5.558076e-06	1.97192e-06	
5.441445e-06	1.311015e-06	
		
5.441445e-06	1.311015e-06	
4.003e-06	1.272137e-06	
		
4.003e-06	1.272137e-06	
4.430645e-06	2.166305e-06	
		
4.430645e-06	2.166305e-06	
5.013799e-06	3.371493e-06	
		
5.013799e-06	3.371493e-06	
6.024598e-06	5.08207e-06	
		
6.024598e-06	5.08207e-06	
5.985722e-06	5.393088e-06	
		
5.985722e-06	5.393088e-06	
6.141227e-06	5.704103e-06	
		
6.141227e-06	5.704103e-06	
6.374488e-06	5.665218e-06	
		
6.374488e-06	5.665218e-06	
7.035397e-06	7.259183e-06	
		
7.035397e-06	7.259183e-06	
7.579672e-06	9.008626e-06	
		
7.579672e-06	9.008626e-06	
7.307534e-06	9.086394e-06	
		
7.307534e-06	9.086394e-06	
7.385288e-06	9.475159e-06	
		
7.385288e-06	9.475159e-06	
7.657427e-06	9.436274e-06	
		
7.657427e-06	9.436274e-06	
8.046196e-06	1.110799e-05	
		
8.046196e-06	1.110799e-05	
8.201702e-06	1.301295e-05	
		
8.201702e-06	1.301295e-05	
8.396087e-06	1.519006e-05	
		
8.396087e-06	1.519006e-05	
8.512718e-06	1.697839e-05	
		
8.512718e-06	1.697839e-05	
8.318334e-06	1.709502e-05	
		
8.318334e-06	1.709502e-05	
8.396087e-06	1.791144e-05	
		
8.396087e-06	1.791144e-05	
8.745978e-06	1.802807e-05	
		
8.745978e-06	1.802807e-05	
8.745978e-06	1.9e-05	
		
8.745978e-06	1.9e-05	
8.901487e-06	1.9e-05	
		
8.901487e-06	1.9e-05	
8.940364e-06	1.802807e-05	
		
8.940364e-06	1.802807e-05	
9.290256e-06	1.802807e-05	
		
9.290256e-06	1.802807e-05	
9.290256e-06	1.725054e-05	
		
9.290256e-06	1.725054e-05	
9.212501e-06	1.701727e-05	
		
9.212501e-06	1.701727e-05	
9.173625e-06	1.612311e-05	
		
9.173625e-06	1.612311e-05	
9.290256e-06	1.499568e-05	
		
9.290256e-06	1.499568e-05	
9.406886e-06	1.324622e-05	
		
9.406886e-06	1.324622e-05	
9.60127e-06	1.134126e-05	
		
9.60127e-06	1.134126e-05	
9.834531e-06	9.669541e-06	
		
9.834531e-06	9.669541e-06	
1.018442e-05	9.397409e-06	
		
1.018442e-05	9.397409e-06	
1.018442e-05	9.008626e-06	
		
1.018442e-05	9.008626e-06	
1.033993e-05	7.958963e-06	
		
1.033993e-05	7.958963e-06	
1.061207e-05	6.987032e-06	
		
1.061207e-05	6.987032e-06	
1.100084e-05	6.092868e-06	
		
1.100084e-05	6.092868e-06	
1.154511e-05	5.937369e-06	
		
1.154511e-05	5.937369e-06	
1.150624e-05	5.120956e-06	
		
1.150624e-05	5.120956e-06	
1.170062e-05	4.537789e-06	
		
1.170062e-05	4.537789e-06	
1.170062e-05	4.537789e-06	
		
1.170062e-05	4.537789e-06	
1.216714e-05	3.876891e-06	
		
1.216714e-05	3.876891e-06	
1.278917e-05	2.904965e-06	
		
1.278917e-05	2.904965e-06	
1.364447e-05	1.583152e-06	
		
1.368334e-05	1.544275e-06	
1.395548e-05	1.077752e-06	
		
1.395548e-05	1.077752e-06	
1.243928e-05	9.999993e-07	
		
1.243928e-05	9.999993e-07	
1.212827e-05	1.622029e-06	
		
1.212827e-05	1.622029e-06	
1.181725e-05	2.36069e-06	
		
1.181725e-05	2.36069e-06	
1.166174e-05	2.710581e-06	
		
1.166174e-05	2.710581e-06	
1.135073e-05	3.099342e-06	
		
1.135073e-05	3.099342e-06	
1.092308e-05	3.410358e-06	
		
1.092308e-05	3.410358e-06	
1.049544e-05	3.760258e-06	
		
1.049544e-05	3.760258e-06	
1.002892e-05	3.993525e-06	
		
1.002892e-05	3.993525e-06	
9.523517e-06	4.149023e-06	
		
9.523517e-06	4.149023e-06	
8.940364e-06	4.304541e-06	
		
6.102351e-06	5.898485e-06	
1.146736e-05	6.053984e-06	
		
6.180106e-06	5.354202e-06	
1.142848e-05	5.470837e-06	
		
8.357209e-06	8.308843e-06	
7.812932e-06	6.092868e-06	
		
7.812932e-06	6.092868e-06	
9.756777e-06	6.053984e-06	
		
9.756777e-06	6.053984e-06	
9.290256e-06	8.386613e-06	
		
9.290256e-06	8.386613e-06	
8.473841e-06	8.347729e-06	
		
7.657427e-06	9.475159e-06	
9.951163e-06	9.630658e-06	
		
9.951163e-06	9.630658e-06	
1.002892e-05	9.280777e-06	
		
1.002892e-05	9.280777e-06	
7.501919e-06	9.125259e-06	
				
8.412403e-06	4.163247e-06	
7.245053e-06	3.883083e-06	
		
6.077702e-06	5.93762e-06	
5.984314e-06	5.564068e-06	
		
8.505791e-06	1.709749e-05	
9.159507e-06	1.719088e-05	
