XLitho	YLitho	wavelength
1.276901e-05	1.885856e-05	228
1.281616e-05	1.782138e-05	
		
1.220327e-05	1.758564e-05	
1.126036e-05	1.716133e-05	
		
1.126036e-05	1.716133e-05	
1.083606e-05	1.654845e-05	
		
1.083606e-05	1.654845e-05	
1.04589e-05	1.560554e-05	
		
1.04589e-05	1.560554e-05	
1.036461e-05	1.419118e-05	
		
1.036461e-05	1.419118e-05	
1.036461e-05	7.638005e-06	
		
1.036461e-05	7.638005e-06	
1.055318e-05	5.987936e-06	
		
1.055318e-05	5.987936e-06	
1.08832e-05	4.762153e-06	
		
1.08832e-05	4.762153e-06	
1.149609e-05	3.866392e-06	
		
1.149609e-05	3.866392e-06	
1.239185e-05	3.347795e-06	
		
1.239185e-05	3.347795e-06	
1.319332e-05	3.159213e-06	
		
1.319332e-05	3.159213e-06	
1.324046e-05	1.933439e-06	
		
1.324046e-05	1.933439e-06	
4.047145e-06	1.933439e-06	
		
4.047145e-06	1.933439e-06	
4.047145e-06	2.546325e-06	
		
4.047145e-06	2.546325e-06	
4.18858e-06	2.782053e-06	
		
4.18858e-06	2.782053e-06	
4.471452e-06	2.970634e-06	
		
4.471452e-06	2.970634e-06	
8.950247e-06	2.970634e-06	
		
8.950247e-06	2.970634e-06	
8.855956e-06	1.843426e-05	
		
8.855956e-06	1.843426e-05	
5.272921e-06	1.843426e-05	
		
5.272921e-06	1.843426e-05	
4.80147e-06	1.829282e-05	
		
4.80147e-06	1.829282e-05	
4.424307e-06	1.782138e-05	
		
4.424307e-06	1.782138e-05	
4.377162e-06	1.749137e-05	
		
4.377162e-06	1.749137e-05	
4.565743e-06	1.692562e-05	
		
4.565743e-06	1.692562e-05	
4.942903e-06	1.673703e-05	
		
4.942903e-06	1.673703e-05	
5.36721e-06	1.678419e-05	
		
5.36721e-06	1.678419e-05	
5.650082e-06	1.697276e-05	
		
5.650082e-06	1.697276e-05	
5.744373e-06	1.720849e-05	
		
5.744373e-06	1.720849e-05	
5.461502e-06	1.76328e-05	
		
5.461502e-06	1.76328e-05	
5.131486e-06	1.758564e-05	
		
5.131486e-06	1.758564e-05	
5.17863e-06	1.720849e-05	
		
5.17863e-06	1.720849e-05	
4.895759e-06	1.730277e-05	
		
4.895759e-06	1.730277e-05	
4.80147e-06	1.76328e-05	
		
4.80147e-06	1.76328e-05	
5.084339e-06	1.786851e-05	
		
5.084339e-06	1.786851e-05	
5.508646e-06	1.800995e-05	
		
5.508646e-06	1.800995e-05	
5.932953e-06	1.777423e-05	
		
5.932953e-06	1.777423e-05	
6.074389e-06	1.730277e-05	
		
6.074389e-06	1.730277e-05	
5.885809e-06	1.673703e-05	
		
5.885809e-06	1.673703e-05	
5.508646e-06	1.640702e-05	
		
5.508646e-06	1.640702e-05	
5.084339e-06	1.631272e-05	
		
5.084339e-06	1.631272e-05	
4.377162e-06	1.654845e-05	
		
4.377162e-06	1.654845e-05	
4.047145e-06	1.70199e-05	
		
4.047145e-06	1.70199e-05	
4e-06	1.767994e-05	
		
4e-06	1.767994e-05	
4.141436e-06	1.819855e-05	
		
4.141436e-06	1.819855e-05	
4.377162e-06	1.852855e-05	
		
4.377162e-06	1.852855e-05	
5.037195e-06	1.881142e-05	
		
5.037195e-06	1.881142e-05	
5.320066e-06	1.885856e-05	
		
5.414357e-06	1.890572e-05	
1.276901e-05	1.9e-05	
		
8.950247e-06	3.489232e-06	
5.36721e-06	3.489232e-06	
		
5.36721e-06	3.489232e-06	
5.037195e-06	3.724957e-06	
		
5.037195e-06	3.724957e-06	
5.225775e-06	3.913539e-06	
		
5.225775e-06	3.913539e-06	
8.903104e-06	4.054974e-06	
		
8.855956e-06	1.664275e-05	
6.828712e-06	1.668989e-05	
		
6.828712e-06	1.668989e-05	
6.592988e-06	1.683132e-05	
		
6.592988e-06	1.683132e-05	
6.781568e-06	1.70199e-05	
		
6.781568e-06	1.70199e-05	
8.855956e-06	1.71142e-05	
		
8.855956e-06	1.739707e-05	
6.781568e-06	1.749137e-05	
		
6.781568e-06	1.749137e-05	
6.404407e-06	1.777423e-05	
		
6.404407e-06	1.777423e-05	
6.640132e-06	1.800995e-05	
		
6.640132e-06	1.800995e-05	
8.761667e-06	1.810425e-05	
		
8.761667e-06	1.810425e-05	
8.855956e-06	1.800995e-05	
		
7.771617e-06	1.588841e-05	
8.007344e-06	1.612415e-05	
		
8.007344e-06	1.612415e-05	
8.337361e-06	1.584127e-05	
		
8.337361e-06	1.584127e-05	
8.337361e-06	4.85645e-06	
		
8.337361e-06	4.85645e-06	
8.195924e-06	4.620716e-06	
		
8.195924e-06	4.620716e-06	
7.960198e-06	4.620716e-06	
		
7.960198e-06	4.620716e-06	
7.771617e-06	4.762153e-06	
		
7.771617e-06	4.762153e-06	
7.724473e-06	1.584127e-05	
		
6.828712e-06	1.588841e-05	
6.970148e-06	1.607701e-05	
		
6.970148e-06	1.607701e-05	
7.253019e-06	1.593557e-05	
		
7.253019e-06	1.593557e-05	
7.253019e-06	4.762153e-06	
		
7.253019e-06	4.762153e-06	
7.064439e-06	4.573578e-06	
		
7.064439e-06	4.573578e-06	
6.828712e-06	4.667854e-06	
		
6.828712e-06	4.667854e-06	
6.828712e-06	1.593557e-05	
		
6.828712e-06	1.593557e-05	
6.828712e-06	1.593557e-05	
		
		
		
		
		
1.275495e-05	1.78446e-05	
1.219462e-05	1.751774e-05	
