XLitho	YLitho	wavelength
1e-06	1.9e-05	160
1e-06	1e-05	
		
3e-06	1.9e-05	
3e-06	1e-05	
		
5e-06	1.9e-05	
5e-06	1e-05	
		
7e-06	1.9e-05	
7e-06	1e-05	
		
9e-06	1.9e-05	
9e-06	1e-05	
		
1.1e-05	1.9e-05	
1.1e-05	1e-05	
		
1.3e-05	1.9e-05	
1.3e-05	1e-05	
		
1.5e-05	1.9e-05	
1.5e-05	1e-05	
		
1.7e-05	1.9e-05	
1.7e-05	1e-05	
		
1e-06	1.9e-05	
1.7e-05	1.9e-05	
		
1e-06	1.719e-05	
1.7e-05	1.719e-05	
		
1e-06	1.538e-05	
1.7e-05	1.538e-05	
		
1e-06	1.357e-05	
1.7e-05	1.357e-05	
		
1e-06	1.176e-05	
1.7e-05	1.176e-05	
		
1e-06	9.95e-06	
1.7e-05	9.95e-06	
		
1.405e-05	6e-06	
1.405e-05	7e-06	
1.405e-05	7e-06	
1.475e-05	6e-06	
1.475e-05	6e-06	
1.475e-05	7e-06	
		
1.3e-05	6e-06	
1.3e-05	7e-06	
1.3e-05	7e-06	
1.3525e-05	7e-06	
1.3525e-05	7e-06	
1.37e-05	6.833333e-06	
1.37e-05	6.833333e-06	
1.37e-05	6.666667e-06	
1.37e-05	6.666667e-06	
1.3525e-05	6.5e-06	
1.3525e-05	6.5e-06	
1.3e-05	6.5e-06	
		
1.3175e-05	6.5e-06	
1.37e-05	6e-06	
		
1.265e-05	7e-06	
1.195e-05	7e-06	
1.195e-05	7e-06	
1.195e-05	6e-06	
1.195e-05	6e-06	
1.265e-05	6e-06	
		
1.23e-05	6.5e-06	
1.195e-05	6.5e-06	
		
1.09e-05	7e-06	
1.16e-05	7e-06	
1.125e-05	7e-06	
1.125e-05	6e-06	
		
9.85e-06	7e-06	
1.055e-05	7e-06	
1.02e-05	7e-06	
1.02e-05	6e-06	
		
8.8e-06	6e-06	
9.15e-06	7e-06	
9.15e-06	7e-06	
9.5e-06	6e-06	
		
8.975e-06	6.5e-06	
9.325e-06	6.5e-06	
		
7.75e-06	6e-06	
7.75e-06	7e-06	
7.75e-06	7e-06	
8.275e-06	7e-06	
8.275e-06	7e-06	
8.45e-06	6.833333e-06	
8.45e-06	6.833333e-06	
8.45e-06	6.666667e-06	
8.45e-06	6.666667e-06	
8.275e-06	6.5e-06	
8.275e-06	6.5e-06	
7.75e-06	6.5e-06	
		
5.65e-06	7e-06	
5.65e-06	6e-06	
		
5.65e-06	6.5e-06	
6.35e-06	6.5e-06	
		
6.35e-06	7e-06	
6.35e-06	6e-06	
		
5.3e-06	6.833333e-06	
5.125e-06	7e-06	
5.125e-06	7e-06	
4.775e-06	7e-06	
4.775e-06	7e-06	
4.6e-06	6.833333e-06	
4.6e-06	6.833333e-06	
4.6e-06	6.666667e-06	
4.6e-06	6.666667e-06	
4.775e-06	6.5e-06	
4.775e-06	6.5e-06	
5.125e-06	6.5e-06	
5.125e-06	6.5e-06	
5.3e-06	6.333333e-06	
5.3e-06	6.333333e-06	
5.3e-06	6.166666e-06	
5.3e-06	6.166666e-06	
5.125e-06	6e-06	
5.125e-06	6e-06	
4.775e-06	6e-06	
4.775e-06	6e-06	
4.6e-06	6.166666e-06	
		
4.25e-06	7e-06	
3.55e-06	7e-06	
3.55e-06	7e-06	
3.55e-06	6e-06	
3.55e-06	6e-06	
4.25e-06	6e-06	
		
3.9e-06	6.5e-06	
3.55e-06	6.5e-06	
		
2.5e-06	6e-06	
2.5e-06	7e-06	
2.5e-06	7e-06	
2.85e-06	6.5e-06	
2.85e-06	6.5e-06	
3.2e-06	7e-06	
3.2e-06	7e-06	
3.2e-06	6e-06	
		
