XLitho	YLitho	wavelength
7.76829e-06	9.999993e-07	534
6.743901e-06	1.329268e-06	
		
5.829267e-06	2.317071e-06	
4.914632e-06	3.249998e-06	
		
4.914632e-06	3.249998e-06	
4.036584e-06	4.951217e-06	
		
4.036584e-06	4.951217e-06	
3.451218e-06	7.091462e-06	
		
3.451218e-06	7.091462e-06	
3.378047e-06	8.46341e-06	
		
3.378047e-06	8.46341e-06	
3.487803e-06	9.670727e-06	
		
3.487803e-06	9.670727e-06	
3.707315e-06	1.076828e-05	
		
3.707315e-06	1.076828e-05	
4.073168e-06	1.170121e-05	
		
4.073168e-06	1.170121e-05	
4.256096e-06	1.214024e-05	
		
4.256096e-06	1.214024e-05	
3.963414e-06	1.19756e-05	
		
3.963414e-06	1.19756e-05	
3.231706e-06	1.164633e-05	
		
3.231706e-06	1.164633e-05	
2.865853e-06	1.164633e-05	
		
2.865853e-06	1.164633e-05	
2.317072e-06	1.181097e-05	
		
2.317072e-06	1.181097e-05	
1.475609e-06	1.279877e-05	
		
1.475609e-06	1.279877e-05	
1.073171e-06	1.37317e-05	
		
1.073171e-06	1.37317e-05	
1e-06	1.45e-05	
		
1e-06	1.45e-05	
1.036585e-06	1.548779e-05	
		
1.036585e-06	1.548779e-05	
1.475609e-06	1.696951e-05	
		
1.475609e-06	1.696951e-05	
2.829268e-06	1.850609e-05	
		
2.829268e-06	1.850609e-05	
3.634146e-06	1.9e-05	
		
3.634146e-06	1.9e-05	
4.219511e-06	1.894511e-05	
		
4.219511e-06	1.894511e-05	
4.914632e-06	1.861584e-05	
		
4.914632e-06	1.861584e-05	
5.829267e-06	1.702438e-05	
		
5.829267e-06	1.702438e-05	
5.939023e-06	1.609146e-05	
		
5.939023e-06	1.609146e-05	
5.939023e-06	1.52134e-05	
		
5.939023e-06	1.52134e-05	
5.79268e-06	1.45e-05	
		
5.79268e-06	1.45e-05	
5.609755e-06	1.411584e-05	
		
5.609755e-06	1.411584e-05	
5.975608e-06	1.42256e-05	
		
5.975608e-06	1.42256e-05	
6.67073e-06	1.466463e-05	
		
6.67073e-06	1.466463e-05	
7.439022e-06	1.477439e-05	
		
7.439022e-06	1.477439e-05	
8.134142e-06	1.482926e-05	
		
8.134142e-06	1.482926e-05	
8.829265e-06	1.460975e-05	
		
8.829265e-06	1.460975e-05	
9.487801e-06	1.42256e-05	
		
9.487801e-06	1.42256e-05	
1.021951e-05	1.37317e-05	
		
1.021951e-05	1.37317e-05	
9.963411e-06	1.433535e-05	
		
9.963411e-06	1.433535e-05	
9.890241e-06	1.504877e-05	
		
9.890241e-06	1.504877e-05	
9.853655e-06	1.614633e-05	
		
9.853655e-06	1.614633e-05	
1.007317e-05	1.713414e-05	
		
1.007317e-05	1.713414e-05	
1.07317e-05	1.806707e-05	
		
1.07317e-05	1.806707e-05	
1.128048e-05	1.856096e-05	
		
1.128048e-05	1.856096e-05	
1.197561e-05	1.867072e-05	
		
1.197561e-05	1.867072e-05	
1.278048e-05	1.834146e-05	
		
1.278048e-05	1.834146e-05	
1.362195e-05	1.762804e-05	
		
1.362195e-05	1.762804e-05	
1.446341e-05	1.609146e-05	
		
1.446341e-05	1.609146e-05	
1.460975e-05	1.510365e-05	
		
1.460975e-05	1.510365e-05	
1.464634e-05	1.406097e-05	
		
1.464634e-05	1.406097e-05	
1.439024e-05	1.290853e-05	
		
1.439024e-05	1.290853e-05	
1.39878e-05	1.203049e-05	
		
1.39878e-05	1.203049e-05	
1.347561e-05	1.159146e-05	
		
1.347561e-05	1.159146e-05	
1.292682e-05	1.137195e-05	
		
1.292682e-05	1.137195e-05	
1.22317e-05	1.14817e-05	
		
1.22317e-05	1.14817e-05	
1.142683e-05	1.192072e-05	
		
1.142683e-05	1.192072e-05	
1.164634e-05	1.131707e-05	
		
1.164634e-05	1.131707e-05	
1.197561e-05	1.010975e-05	
		
1.197561e-05	1.010975e-05	
1.208536e-05	9.176825e-06	
		
1.208536e-05	9.176825e-06	
1.215853e-05	8.243897e-06	
		
1.215853e-05	8.243897e-06	
1.204878e-05	6.707313e-06	
		
1.204878e-05	6.707313e-06	
1.168292e-05	5.390242e-06	
		
1.168292e-05	5.390242e-06	
1.12439e-05	4.128047e-06	
		
1.12439e-05	4.128047e-06	
1.058536e-05	3.030487e-06	
		
1.058536e-05	3.030487e-06	
9.634143e-06	2.207315e-06	
		
9.634143e-06	2.207315e-06	
9.121948e-06	1.713414e-06	
		
9.121948e-06	1.713414e-06	
8.573167e-06	1.329268e-06	
		
8.573167e-06	1.329268e-06	
7.76829e-06	1.054877e-06	
		
1.117073e-05	7.695118e-06	
1.146341e-05	7.64024e-06	
		
1.146341e-05	7.64024e-06	
1.157317e-05	7.201216e-06	
		
1.139024e-05	7.530483e-06	
1.091463e-05	6.323168e-06	
		
1.091463e-05	6.323168e-06	
1.032926e-05	5.225606e-06	
		
1.032926e-05	5.225606e-06	
9.780485e-06	4.621949e-06	
		
9.780485e-06	4.621949e-06	
8.79268e-06	4.01829e-06	
		
8.79268e-06	4.01829e-06	
7.731704e-06	3.908535e-06	
		
7.731704e-06	3.908535e-06	
6.853656e-06	4.01829e-06	
		
6.853656e-06	4.01829e-06	
6.048779e-06	4.457315e-06	
		
6.048779e-06	4.457315e-06	
5.317071e-06	5.170729e-06	
		
5.317071e-06	5.170729e-06	
4.76829e-06	6.103656e-06	
		
4.76829e-06	6.103656e-06	
4.182925e-06	7.695118e-06	
		
4.475608e-06	7.695118e-06	
4.109755e-06	7.859752e-06	
		
4.109755e-06	7.859752e-06	
3.999999e-06	7.420728e-06	
		
4.804877e-06	6.048779e-06	
5.463412e-06	4.01829e-06	
		
5.463412e-06	4.01829e-06	
6.121949e-06	2.865852e-06	
		
6.121949e-06	2.865852e-06	
6.707315e-06	2.207315e-06	
		
6.707315e-06	2.207315e-06	
7.329267e-06	1.823169e-06	
		
7.329267e-06	1.823169e-06	
7.987802e-06	1.768292e-06	
		
7.987802e-06	1.768292e-06	
8.829265e-06	2.097559e-06	
		
8.829265e-06	2.097559e-06	
9.451217e-06	2.920731e-06	
		
9.451217e-06	2.920731e-06	
1.007317e-05	4.29268e-06	
		
1.007317e-05	4.29268e-06	
1.087805e-05	6.378045e-06	
		
6.451217e-06	2.591463e-06	
6.451217e-06	2.975608e-06	
		
6.451217e-06	2.975608e-06	
6.634144e-06	3.304876e-06	
		
6.634144e-06	3.304876e-06	
7.073168e-06	3.46951e-06	
		
7.073168e-06	3.46951e-06	
7.512192e-06	3.46951e-06	
		
7.512192e-06	3.46951e-06	
7.76829e-06	3.085365e-06	
		
7.76829e-06	3.085365e-06	
8.170729e-06	3.414633e-06	
		
8.170729e-06	3.414633e-06	
8.609753e-06	3.359754e-06	
		
8.609753e-06	3.359754e-06	
8.902436e-06	3.085365e-06	
		
8.902436e-06	3.085365e-06	
9.012192e-06	2.64634e-06	
		
9.012192e-06	2.64634e-06	
8.939021e-06	2.317071e-06	
		
7.841461e-06	5.774388e-06	
7.21951e-06	5.939022e-06	
		
7.21951e-06	5.939022e-06	
6.963411e-06	6.213412e-06	
		
6.963411e-06	6.213412e-06	
6.817071e-06	6.652437e-06	
		
6.817071e-06	6.652437e-06	
6.926826e-06	7.091462e-06	
		
6.926826e-06	7.091462e-06	
7.29268e-06	7.420728e-06	
		
7.29268e-06	7.420728e-06	
7.69512e-06	7.585363e-06	
		
7.69512e-06	7.585363e-06	
8.31707e-06	7.365851e-06	
		
8.31707e-06	7.365851e-06	
8.609753e-06	6.981704e-06	
		
8.609753e-06	6.981704e-06	
8.646339e-06	6.597558e-06	
		
8.646339e-06	6.597558e-06	
8.463411e-06	6.158533e-06	
		
8.390241e-06	6.103656e-06	
7.914632e-06	5.829266e-06	
		
6.560973e-06	7.695118e-06	
6.743901e-06	7.969508e-06	
		
6.743901e-06	7.969508e-06	
7.256095e-06	8.243897e-06	
		
7.256095e-06	8.243897e-06	
7.731704e-06	8.298777e-06	
		
7.731704e-06	8.298777e-06	
8.31707e-06	8.243897e-06	
		
8.31707e-06	8.243897e-06	
8.829265e-06	7.859752e-06	
		
8.829265e-06	7.859752e-06	
9.012192e-06	8.682922e-06	
		
9.012192e-06	8.682922e-06	
9.085364e-06	9.999996e-06	
		
9.085364e-06	9.999996e-06	
8.975607e-06	1.054877e-05	
		
8.975607e-06	1.054877e-05	
8.71951e-06	1.109756e-05	
		
8.71951e-06	1.109756e-05	
8.31707e-06	1.07134e-05	
		
8.31707e-06	1.07134e-05	
8.243899e-06	9.999996e-06	
		
8.243899e-06	9.999996e-06	
8.207314e-06	9.121947e-06	
		
8.207314e-06	9.121947e-06	
8.31707e-06	8.353654e-06	
		
7.21951e-06	8.353654e-06	
7.365851e-06	8.957313e-06	
		
7.365851e-06	8.957313e-06	
7.402436e-06	9.780483e-06	
		
7.402436e-06	9.780483e-06	
7.329267e-06	1.060365e-05	
		
7.329267e-06	1.060365e-05	
7.073168e-06	1.115244e-05	
		
7.073168e-06	1.115244e-05	
6.707315e-06	1.082316e-05	
		
6.707315e-06	1.082316e-05	
6.560973e-06	1.016463e-05	
		
6.560973e-06	1.016463e-05	
6.560973e-06	9.012191e-06	
		
6.560973e-06	9.012191e-06	
6.707315e-06	8.079263e-06	
		
3.52439e-06	7.036582e-06	
3.52439e-06	7.530483e-06	
		
3.52439e-06	7.530483e-06	
3.634146e-06	8.189021e-06	
		
3.634146e-06	8.189021e-06	
3.853658e-06	8.737802e-06	
		
3.853658e-06	8.737802e-06	
4.292681e-06	8.957313e-06	
		
4.292681e-06	8.957313e-06	
4.731705e-06	8.847557e-06	
		
4.731705e-06	8.847557e-06	
4.951217e-06	8.628045e-06	
		
4.951217e-06	8.628045e-06	
4.76829e-06	9.231703e-06	
		
4.76829e-06	9.231703e-06	
4.658536e-06	1.016463e-05	
		
4.658536e-06	1.016463e-05	
4.658536e-06	1.120732e-05	
		
4.658536e-06	1.120732e-05	
4.731705e-06	1.208537e-05	
		
4.731705e-06	1.208537e-05	
5.134145e-06	1.329268e-05	
		
5.134145e-06	1.329268e-05	
5.829267e-06	1.395121e-05	
		
5.829267e-06	1.395121e-05	
6.414632e-06	1.417072e-05	
		
6.414632e-06	1.417072e-05	
7.036583e-06	1.411584e-05	
		
7.036583e-06	1.411584e-05	
7.512192e-06	1.367682e-05	
		
7.512192e-06	1.367682e-05	
7.76829e-06	1.312803e-05	
		
7.76829e-06	1.312803e-05	
7.841461e-06	1.274389e-05	
		
7.841461e-06	1.274389e-05	
8.024388e-06	1.318293e-05	
		
8.024388e-06	1.318293e-05	
8.31707e-06	1.367682e-05	
		
8.31707e-06	1.367682e-05	
8.71951e-06	1.400609e-05	
		
8.71951e-06	1.400609e-05	
9.378045e-06	1.411584e-05	
		
9.378045e-06	1.411584e-05	
1.007317e-05	1.384146e-05	
		
1.007317e-05	1.384146e-05	
1.043902e-05	1.329268e-05	
		
1.043902e-05	1.329268e-05	
1.084146e-05	1.192072e-05	
		
1.084146e-05	1.192072e-05	
1.09878e-05	1.093293e-05	
		
1.09878e-05	1.093293e-05	
1.09878e-05	1.021951e-05	
		
1.09878e-05	1.021951e-05	
1.091463e-05	9.560971e-06	
		
1.091463e-05	9.560971e-06	
1.062195e-05	8.46341e-06	
		
1.062195e-05	8.46341e-06	
1.091463e-05	8.737802e-06	
		
1.091463e-05	8.737802e-06	
1.135365e-05	8.792678e-06	
		
1.135365e-05	8.792678e-06	
1.171951e-05	8.46341e-06	
		
1.171951e-05	8.46341e-06	
1.197561e-05	7.969508e-06	
		
1.197561e-05	7.969508e-06	
1.201219e-05	7.201216e-06	
		
		
		
		
		
6.79558e-06	1.322716e-06	
5.7907e-06	2.399372e-06	
		
6.867357e-06	8.285093e-06	
		
6.508471e-06	8.931087e-06	
6.652025e-06	9.36175e-06	
		
6.723802e-06	9.36175e-06	
		
6.723802e-06	9.36175e-06	
6.939134e-06	9.433526e-06	
		
6.867357e-06	9.433526e-06	
7.298019e-06	9.218196e-06	
		
8.231122e-06	9.002864e-06	
8.446452e-06	9.289973e-06	
		
8.446452e-06	9.289973e-06	
		
8.446452e-06	9.289973e-06	
8.733561e-06	9.289973e-06	
		
8.733561e-06	9.289973e-06	
		
8.733561e-06	9.289973e-06	
		
8.661784e-06	9.36175e-06	
		
8.661784e-06	9.36175e-06	
8.948892e-06	8.931087e-06	
		
7.852075e-06	3.089284e-06	
8.085545e-06	2.528956e-06	
		
7.291746e-06	6.778112e-06	
7.478523e-06	6.964888e-06	
		
7.478523e-06	6.964888e-06	
7.898769e-06	7.058276e-06	
		
7.898769e-06	7.058276e-06	
8.272321e-06	6.8715e-06	
