XLitho	YLitho	wavelength
1.865e-05	1.9e-05	349
1.935e-05	1.9e-05	
1.9e-05	1.9e-05	
1.9e-05	1.8e-05	
1.865e-05	1.8e-05	
1.935e-05	1.8e-05	
		
1.76e-05	1.9e-05	
1.83e-05	1.9e-05	
1.795e-05	1.9e-05	
1.795e-05	1.8e-05	
1.76e-05	1.8e-05	
1.83e-05	1.8e-05	
		
1.62e-05	1.9e-05	
1.55e-05	1.9e-05	
1.55e-05	1.9e-05	
1.55e-05	1.8e-05	
1.55e-05	1.8e-05	
1.62e-05	1.8e-05	
		
1.585e-05	1.85e-05	
1.55e-05	1.85e-05	
		
1.515e-05	1.883333e-05	
1.4975e-05	1.9e-05	
1.4975e-05	1.9e-05	
1.4625e-05	1.9e-05	
1.4625e-05	1.9e-05	
1.445e-05	1.883333e-05	
1.445e-05	1.883333e-05	
1.445e-05	1.866667e-05	
1.445e-05	1.866667e-05	
1.4625e-05	1.85e-05	
1.4625e-05	1.85e-05	
1.4975e-05	1.85e-05	
1.4975e-05	1.85e-05	
1.515e-05	1.833333e-05	
1.515e-05	1.833333e-05	
1.515e-05	1.816667e-05	
1.515e-05	1.816667e-05	
1.4975e-05	1.8e-05	
1.4975e-05	1.8e-05	
1.4625e-05	1.8e-05	
1.4625e-05	1.8e-05	
1.445e-05	1.816667e-05	
		
1.34e-05	1.8e-05	
1.375e-05	1.9e-05	
1.375e-05	1.9e-05	
1.41e-05	1.8e-05	
		
1.3575e-05	1.85e-05	
1.3925e-05	1.85e-05	
		
1.235e-05	1.9e-05	
1.235e-05	1.8e-05	
		
1.235e-05	1.85e-05	
1.305e-05	1.85e-05	
		
1.305e-05	1.9e-05	
1.305e-05	1.8e-05	
		
1.13e-05	1.8e-05	
1.13e-05	1.9e-05	
1.13e-05	1.9e-05	
1.1825e-05	1.9e-05	
1.1825e-05	1.9e-05	
1.2e-05	1.883333e-05	
1.2e-05	1.883333e-05	
1.2e-05	1.866667e-05	
1.2e-05	1.866667e-05	
1.1825e-05	1.85e-05	
1.1825e-05	1.85e-05	
1.13e-05	1.85e-05	
		
9.2e-06	1.8e-05	
9.2e-06	1.9e-05	
9.2e-06	1.9e-05	
9.9e-06	1.8e-05	
9.9e-06	1.8e-05	
9.9e-06	1.9e-05	
		
8.15e-06	1.8e-05	
8.15e-06	1.9e-05	
8.15e-06	1.9e-05	
8.675e-06	1.9e-05	
8.675e-06	1.9e-05	
8.85e-06	1.883333e-05	
8.85e-06	1.883333e-05	
8.85e-06	1.866667e-05	
8.85e-06	1.866667e-05	
8.675e-06	1.85e-05	
8.675e-06	1.85e-05	
8.15e-06	1.85e-05	
		
8.675e-06	1.85e-05	
8.85e-06	1.833333e-05	
8.85e-06	1.833333e-05	
8.85e-06	1.816667e-05	
8.85e-06	1.816667e-05	
8.675e-06	1.8e-05	
8.675e-06	1.8e-05	
8.15e-06	1.8e-05	
		
7.1e-06	1.9e-05	
7.8e-06	1.9e-05	
7.45e-06	1.9e-05	
7.45e-06	1.8e-05	
		
5e-06	1.8e-05	
5.35e-06	1.9e-05	
5.35e-06	1.9e-05	
5.7e-06	1.8e-05	
		
5.175e-06	1.85e-05	
5.525e-06	1.85e-05	
		
3.95e-06	1.8e-05	
3.95e-06	1.9e-05	
3.95e-06	1.9e-05	
4.475e-06	1.9e-05	
4.475e-06	1.9e-05	
4.65e-06	1.883333e-05	
4.65e-06	1.883333e-05	
4.65e-06	1.866667e-05	
4.65e-06	1.866667e-05	
4.475e-06	1.85e-05	
4.475e-06	1.85e-05	
3.95e-06	1.85e-05	
		
2.9e-06	1.8e-05	
2.9e-06	1.9e-05	
2.9e-06	1.9e-05	
3.425e-06	1.9e-05	
3.425e-06	1.9e-05	
3.6e-06	1.883333e-05	
3.6e-06	1.883333e-05	
3.6e-06	1.866667e-05	
3.6e-06	1.866667e-05	
3.425e-06	1.85e-05	
3.425e-06	1.85e-05	
2.9e-06	1.85e-05	
		
3.075e-06	1.85e-05	
3.6e-06	1.8e-05	
		
1.85e-06	1.8e-05	
